Image,Mu,Sigma,Score,Score_10
104108775417.jpg,30.947592607210108,3.1407710450651964,3.4136546184738954,6.5610048525722595
104109005490.jpg,30.8106011925285,3.1776411198084715,3.4036144578313254,6.5267081885315035
104109009682.jpg,30.761699946437364,2.6245308343117837,3.393574297188755,6.514465453377186
104108992130.jpg,30.60230120414676,3.0637810855746324,3.3835341365461846,6.474558973649489
104107890258.jpg,30.5552568570488,2.643392023036549,3.3734939759036147,6.462781124861041
104107836185.jpg,30.538894823260705,2.800117845757181,3.3634538152610443,6.4586847865820465
104108972455.jpg,30.153421883716103,2.7964843214110457,3.353413654618474,6.362179206760924
104106734438.jpg,30.074988077542333,3.650597613152994,3.3433734939759034,6.3425428090638
104108877288.jpg,30.014257468336503,2.4694905864038526,3.3333333333333335,6.327338518300296
104109046484.jpg,29.78314355343639,2.7855058983150665,3.323293172690763,6.26947769313183
104108313767.jpg,29.710880991196646,2.521086799591716,3.3132530120481927,6.251386305247261
104108976984.jpg,29.637555339832595,4.229619043622862,3.3032128514056227,6.233028766300405
104108829152.jpg,29.58628133536921,2.658181235254172,3.2931726907630523,6.220191996133514
104109063442.jpg,29.469794404221865,2.5252519537289615,3.283132530120482,6.191028758773094
104108707416.jpg,29.443883964167863,2.6210744021011125,3.2730923694779115,6.184541916807519
104108688960.jpg,29.371080213102818,2.659110763956643,3.2630522088353415,6.166315038889745
104108838791.jpg,29.211992995010235,2.872871113197766,3.253012048192771,6.126486551208374
104108984172.jpg,29.144813977252745,2.5617703488510726,3.2429718875502007,6.109667860723487
104108558803.jpg,29.0702652627939,2.796857139592904,3.2329317269076303,6.091004120222611
104108606686.jpg,29.03833354192648,3.6495682199398467,3.2228915662650603,6.0830098126568535
104108689696.jpg,28.984364257200088,2.7174925411694897,3.21285140562249,6.069498262089374
104108790045.jpg,28.967801658870854,2.8046741851929924,3.2028112449799195,6.065351711213467
104108874835.jpg,28.950607226749604,2.658266081905182,3.1927710843373496,6.061046976765658
104108853728.jpg,28.942207404353066,2.430628873880109,3.182730923694779,6.058944028289612
104108542880.jpg,28.912143999238705,3.5988605449172266,3.1726907630522088,6.0514174653475115
104108544266.jpg,28.75103327647698,3.1048053069663446,3.1626506024096384,6.0110823805192775
104108385467.jpg,28.710472245216017,3.6180299863648235,3.1526104417670684,6.0009276707110955
104108329417.jpg,28.64619878090913,3.0676163559479455,3.142570281124498,5.98483640384454
104108888653.jpg,28.624908915173652,2.634780609190666,3.1325301204819276,5.979506351780331
104107850200.jpg,28.33099120393266,2.5469929057234375,3.1224899598393576,5.905922200383038
104108967028.jpg,28.197752088709812,4.193222882902701,3.112449799196787,5.872564948160289
104108745962.jpg,28.109272916536128,4.049170037678084,3.102409638554217,5.850413629775132
104108350295.jpg,28.076229962738324,3.2848775874834826,3.0923694779116464,5.8421411180418135
104109057282.jpg,28.07555092409734,3.2717107506570815,3.0823293172690764,5.841971116438468
104108522829.jpg,28.038536626780548,2.645256515760352,3.072289156626506,5.832704353826159
104108971431.jpg,28.02815996082973,2.6407784874759264,3.0622489959839356,5.830106490107433
104108996622.jpg,28.019193682906913,3.6065830126862877,3.0522088353413657,5.827861725920352
104108568354.jpg,28.004804811431068,2.238166464610701,3.0421686746987953,5.824259381261895
104105683403.jpg,27.879630524606146,2.4706650985517515,3.032128514056225,5.79292120965637
104108945746.jpg,27.864339919551945,2.6769275046686123,3.0220883534136544,5.789093110313484
104107110878.jpg,27.77419259951831,2.5707220004679803,3.0120481927710845,5.766524160598248
104107083244.jpg,27.720681063682285,2.3867329433953137,3.002008032128514,5.7531272103503905
104108225562.jpg,27.691672616418895,2.5567469303435413,2.9919678714859437,5.745864762755051
104108114295.jpg,27.462147409295603,2.5648647867277523,2.9819277108433737,5.68840168059119
104108790088.jpg,27.441949069428244,2.740256028909917,2.9718875502008033,5.683344898907302
104108995273.jpg,27.32104343834471,3.1351301757973236,2.961847389558233,5.653075412169426
104108623685.jpg,27.19663249989677,2.1399592763973834,2.9518072289156625,5.621928349641009
104107350098.jpg,27.166751571583575,2.6819386319872685,2.9417670682730925,5.614447470916124
104108953299.jpg,27.162280627529146,2.646737027776072,2.931726907630522,5.613328141894403
104108969697.jpg,27.148806316248514,2.618022485734314,2.9216867469879517,5.609954763144746
104108988188.jpg,27.10273947369323,2.5905309957875895,2.9116465863453813,5.598421638779185
104108866643.jpg,27.08691513237809,2.496188722510554,2.9016064257028114,5.59445991519955
104108897301.jpg,27.05761519308554,3.0250318568762595,2.891566265060241,5.587124490737611
104108839865.jpg,27.05238129303397,2.6330317933414036,2.8815261044176705,5.585814150873549
104107239815.jpg,27.012930996234704,2.8130297914949844,2.8714859437751006,5.575937520438151
104108296291.jpg,26.993063531987822,3.312835959561576,2.86144578313253,5.57096357555116
104109022874.jpg,26.734718497012597,3.0099658125876156,2.8514056224899598,5.506285267850375
104108783257.jpg,26.728785386972195,3.055774779576429,2.8413654618473894,5.504799876358905
104107479776.jpg,26.68575758576398,3.5999143370115068,2.8313253012048194,5.494027595147849
104108979500.jpg,26.683454654813154,2.7552147837815593,2.821285140562249,5.493451041870308
104109039511.jpg,26.671820830282023,2.3018241361554312,2.8112449799196786,5.49053844057788
104108866981.jpg,26.62720966898623,3.3837603566051606,2.8012048192771086,5.479369755189924
104109016876.jpg,26.625889867146856,2.721104987905517,2.791164658634538,5.479039334481513
104107707060.jpg,26.558613974675,2.213989500774812,2.781124497991968,5.462196390801341
104109044506.jpg,26.51577964370554,2.3401580371158626,2.7710843373493974,5.451472546083885
104108732600.jpg,26.479536391564775,2.3674166172730664,2.7610441767068274,5.442398819490833
